text,label
A last-minute goal in overtime sent the crowd into a frenzy.,rec.sport.hockey
The FDA approved a new treatment for type 2 diabetes.,sci.med
The franchise signed their star center to a long-term contract extension.,rec.sport.hockey
A breakthrough gene therapy has restored vision in patients with rare eye disease.,sci.med
The team won the Stanley Cup in an exciting seven-game series.,rec.sport.hockey
Researchers are studying the gut microbiome's effect on mental health.,sci.med
The study followed patients for ten years and found diet impacts cancer risk.,sci.med
The mental health crisis is driving demand for digital therapy platforms.,sci.med
The rival teams met for the fourth time this season in a heated matchup.,rec.sport.hockey
The probe reached Jupiter and began transmitting data back to Earth.,sci.space
The rookie scored a hat trick in his third NHL game ever.,rec.sport.hockey
The coach was fined for arguing with the referee during the third period.,rec.sport.hockey
Engineers are designing a nuclear-powered rocket for deep space missions.,sci.space
A study found that regular exercise significantly reduces the risk of stroke.,sci.med
Rural communities argue that gun ownership is essential for protection and hunting.,talk.politics.guns
Gun violence costs the United States billions of dollars each year in healthcare.,talk.politics.guns
A massive solar flare disrupted satellite communications on Earth.,sci.space
The rover on Mars sent back soil samples for analysis by scientists on Earth.,sci.space
Stem cell therapy shows promise for treating spinal cord injuries.,sci.med
The Senate is debating new legislation on universal background checks for gun purchases.,talk.politics.guns
An orbital debris cleanup satellite was launched successfully this week.,sci.space
The patient recovered fully after receiving the experimental treatment.,sci.med
Border agents intercepted a large shipment of illegal weapons this week.,talk.politics.guns
The blood test can detect early-stage pancreatic cancer with high accuracy.,sci.med
Astronomers discovered a new exoplanet in the habitable zone of a distant star.,sci.space
The concealed carry permit process varies widely from state to state.,talk.politics.guns
The arena was packed with fans for the first home game of the season.,rec.sport.hockey
The team's penalty kill unit ranked second in the entire league.,rec.sport.hockey
Scientists identified a protein linked to the progression of Alzheimer's disease.,sci.med
The drug reduces symptoms of rheumatoid arthritis with fewer side effects.,sci.med
A new drug showed promising results in reducing tumor size in clinical trials.,sci.med
The Hubble telescope captured a new image of the Crab Nebula.,sci.space
The winger topped the scoring charts with 40 goals this season.,rec.sport.hockey
The spacecraft broke the record for the fastest journey to deep space.,sci.space
Researchers developed a bandage that accelerates wound healing using electricity.,sci.med
A new telescope has captured stunning images of distant galaxies.,sci.space
Doctors are using AI to diagnose cancer from medical imaging scans.,sci.med
A novel immunotherapy has extended survival rates in lung cancer patients.,sci.med
Scientists are working on an mRNA vaccine for various types of cancer.,sci.med
A new propulsion system could reduce travel time to Mars by half.,sci.space
A genetic mutation was found to increase susceptibility to certain diseases.,sci.med
The NRA lobbied heavily against the proposed background check expansion.,talk.politics.guns
The legislation would require safe storage of firearms in homes with children.,talk.politics.guns
The local sheriff vowed not to enforce the new state gun control law.,talk.politics.guns
Congress failed to pass comprehensive gun reform legislation again this session.,talk.politics.guns
The next generation of space telescopes will observe the first stars.,sci.space
A brawl in the third period resulted in multiple ejections from the game.,rec.sport.hockey
New research shows a link between sleep deprivation and immune function.,sci.med
A new report details the mental health component of gun violence in America.,talk.politics.guns
Space tourism company completed its first crewed suborbital flight.,sci.space
NASA announced a new mission to Mars next year with advanced spacecraft technology.,sci.space
The debate over gun control remains one of the most divisive in American politics.,talk.politics.guns
The city council voted to ban handguns in public parks and government buildings.,talk.politics.guns
A new diagnostic tool can detect tuberculosis in under an hour.,sci.med
Schools are implementing active shooter drills amid ongoing gun violence concerns.,talk.politics.guns
Doctors warn that overuse of antibiotics contributes to superbugs.,sci.med
The federal agency released new data on firearm sales reaching record highs.,talk.politics.guns
The arena renovations are expected to be completed before next season.,rec.sport.hockey
The World Junior Championships begin next week with teams from 10 nations.,rec.sport.hockey
Gun rights advocates protested outside the state capitol against proposed restrictions.,talk.politics.guns
The cosmonaut returned from the ISS after six months in space.,sci.space
Both teams were evenly matched in a physical first period.,rec.sport.hockey
Statistics show that states with stricter gun laws have lower rates of gun violence.,talk.politics.guns
A slap shot from the blue line found the top corner of the net.,rec.sport.hockey
The power play unit has been the most effective in the league this season.,rec.sport.hockey
The annual meteor shower will peak this weekend with hundreds of meteors per hour.,sci.space
A private company plans to launch a constellation of internet satellites.,sci.space
Opponents of the bill argue it infringes on constitutional rights.,talk.politics.guns
The proposed law would require liability insurance for gun owners.,talk.politics.guns
Scientists are studying the effects of microgravity on the human body in orbit.,sci.space
A simple blood test may soon predict the risk of heart attack years in advance.,sci.med
The backup goalie stepped in and delivered a shutout performance.,rec.sport.hockey
Scientists believe there may be liquid water beneath the ice of Europa.,sci.space
The hockey league announced expansion teams in two new cities.,rec.sport.hockey
Several states have introduced permitless carry laws in the past year.,talk.politics.guns
Preseason camp opened with 60 players competing for 23 roster spots.,rec.sport.hockey
The space agency announced plans to build a permanent lunar base.,sci.space
A new study links easy access to firearms with higher suicide rates.,talk.politics.guns
The mission to study the Sun's corona has returned valuable data.,sci.space
The space station crew performed emergency repairs on a cooling system.,sci.space
The clinical trial showed significant improvement in patients with heart disease.,sci.med
The hospital implemented a new protocol to reduce post-surgical infections.,sci.med
The governor signed a red flag law allowing courts to temporarily remove guns.,talk.politics.guns
The launch of the new rocket was postponed due to bad weather conditions.,sci.space
Researchers found evidence of ancient volcanic activity on the Moon.,sci.space
Analytics are changing how coaches manage player ice time and line matching.,rec.sport.hockey
